Hugo_Symbol	reptime	percentage_gene_gc_content	hic	cds_length
ABCG2	209	0.39894	-7	2399.25
ABCG4	195	0.50676	57	2254.66666666667
ABCG5	480	0.38797	35	2842.8
ABCG8	480	0.409915	30	2665
ABHD1	238	0.51674	50	969.166666666667
ABHD10	250	0.389105	10	1280.5
ABHD11	214	0.52942	54	921.857142857143
ABHD12	348	0.486705	-3	942.888888888889
ABHD12B	431	0.43422	41	1317.1
ABHD13	952	0.38363	-32	5338
ABHD14A	224	0.53508	36	845.6
ABHD14B	224	0.53508	36	1574.75
ABHD15	353	0.3986	23	3592
ABHD2	388	0.44342	22	2248.36363636364
ABHD3	244	0.43092	57	1203.2
ABHD4	380	0.44028	49	855
ABHD5	437	0.41006	33	805.285714285714
ABHD6	221	0.46919	43	1124.28571428571
ABHD8	211	0.56066	43	1071.66666666667
ABI1	447	0.39995	30	3181.66666666667
ABI2	298	0.40899	23	2204.875
ABI3	346	0.47312	24	1375.75
ABI3BP	548	0.3735875	-1	1447.2
ABL1	211	0.4654867	29	3374
ABL2	301	0.435725	6	4484.66666666667
ABLIM1	257	0.4429912	13	3401.35714285714
ABLIM2	230	0.5086367	36	2371.38888888889
ABLIM3	423	0.4341	17	2377.16666666667
ABO	416	0.49187	45	4585.33333333333
ABR	270	0.548075	22	1138.94444444444
ABRA	708	0.35217	18	2755
ABT1	498	0.427125	24	2255
ABTB1	336	0.52221	45	1404.9375
ABTB2	368	0.4621233	32	3205.66666666667
ACAA1	411	0.48682	32	1261.1
ACAA2	530	0.43653	35	1324.14285714286
ACACA	346	0.4148625	13	2493.73076923077
ACACB	519	0.4647867	29	2769.9375
ACAD10	203	0.45658	33	1413.24
ACAD11	598	0.37365	19	2156.83333333333
ACAD8	623	0.44418	21	1402.57894736842
ACAD9	382	0.464195	54	1494.58333333333
ACADL	696	0.35972	2	1341
ACADM	578	0.390675	-13	1155.21052631579
ACADS	349	0.49029	42	1496.66666666667
ACADSB	673	0.405165	17	1890.8
ACADVL	316	0.52047	21	872.384615384615
ACAN	560	0.48265	-1	4735.75
ACAP1	206	0.53544	36	1069.5
ACAP2	561	0.4275067	43	1173.14285714286
ACAP3	273	0.62447	28	1794.53846153846
ACAT1	695	0.404975	19	862.75
ACAT2	420	0.43087	22	1850
ACBD3	214	0.47581	24	1933.5
ACBD4	207	0.52499	32	1304.06666666667
ACBD5	555	0.410635	36	2334.625
ACBD6	445	0.4179933	12	1102
ACBD7	620	0.44559	21	898
ACCS	680	0.45991	3	1048.42857142857
ACCSL	680	0.47319	1	1813
ACD	147	0.49385	41	1183.69230769231
ACE	267	0.47176	-20	1723.61538461538
ACE2	NaN	0.389305	32	1856.6
ACER1	407	0.49583	31	1445
ACER2	421	0.41577	24	1483
ACER3	351	0.42496	36	1667.41935483871
ACHE	433	0.52083	48	1545.57142857143
ACIN1	185	0.48918	41	1843.17391304348
ACLY	191	0.49973	33	2538.25
ACMSD	496	0.41888	15	1258
ACN9	987	0.395615	-9	981.25
ACO1	424	0.395815	-18	4888
ACO2	162	0.513485	69	1228
ACOT11	415	0.49567	18	3058.2
ACOT12	831	0.39692	16	1032.5
ACOT13	362	0.41128	24	3057
ACOT2	169	0.46478	39	1250
ACOT4	169	0.46478	39	2362
ACOT6	169	0.46478	39	937
ACOT7	176	0.543955	26	1464.63636363636
ACOT8	180	0.445	48	1270
ACOT9	NaN	0.43209	48	1561.5
ACOX1	194	0.52981	22	1953.78571428571
ACOX2	265	0.44385	33	940.307692307692
ACOX3	332	0.5233	47	1504
ACP1	624	0.41613	-18	820.230769230769
ACP2	198	0.4995	38	1170.93333333333
ACP5	272	0.53759	31	910.5
ACPL2	352	0.441795	22	1489.6
ACPP	765	0.40229	13	1054.44444444444
ACPT	593	0.54317	27	1207.5
ACRBP	210	0.50626	61	973.333333333333
ACRC	NaN	0.43691	39	2231.66666666667
ACRV1	595	0.39562	13	1060.2
ACSBG1	314	0.47962	52	1434.73333333333
ACSBG2	417	0.46525	40	1476.71428571429
ACSF2	200	0.48033	23	896.346153846154
ACSL1	515	0.43008	30	2589
ACSL3	361	0.41059	14	1298.45454545455
ACSL4	NaN	0.38946	44	1744
ACSL5	409	0.45394	-4	2114.1
ACSL6	484	0.420145	25	2121.12
ACSM1	641	0.41138	11	1572.71428571429
ACSM2A	823	0.4449	6	1602.66666666667
ACSM2B	726	0.4272	-6	1310.15789473684
ACSM3	580	0.40143	23	1001.46666666667
ACSM4	439	0.39693	27	1426
ACSM5	823	0.4449	6	1008.42857142857
ACSS1	563	0.482835	-18	3400.33333333333
ACSS2	205	0.44555	44	1076.16
ACSS3	1037	0.35614	-20	1743
ACTA1	361	0.45144	29	1359
ACTA2	267	0.38763	30	1018.28571428571
ACTB	195	0.55276	34	1014.84615384615
ACTBL2	456	0.40511	3	2791
ACTC1	306	0.41201	-1	1812.66666666667
ACTG2	284	0.43021	45	1133.44444444444
ACTL6A	477	0.404525	11	877.714285714286
ACTL6B	247	0.54917	60	850.833333333333
ACTL7A	471	0.42877	9	1433
ACTL7B	471	0.42877	9	2369
ACTL8	416	0.515485	27	1861
ACTL9	487	0.4649	-47	1421
ACTN1	344	0.48847	44	1544.66666666667
ACTN2	682	0.417575	-10	1861.28571428571
ACTN3	194	0.52337	62	2242.33333333333
ACTN4	322	0.526205	36	1567.90909090909
ACTR10	545	0.402705	21	903.6875
ACTR1A	178	0.5397	41	1701.75
ACTR1B	520	0.41028	25	1373
ACTR2	343	0.4332	31	1818.6
ACTR3	629	0.40288	15	2101.22222222222
ACTR3B	535	0.44273	5	2142.83333333333
ACTR5	551	0.477535	35	2236
ACTR6	650	0.41498	9	1196.92307692308
ACTR8	552	0.43735	39	1432.57142857143
ACTRT1	NaN	0.35412	-35	1440
ACTRT2	634	0.54601	19	1420
ACVR1	935	0.3908333	2	1414.7
ACVR1B	371	0.49525	27	1874.42857142857
ACVR1C	911	0.374095	7	3387.75
ACVR2A	951	0.37016	-2	1852
ACVR2B	514	0.448865	28	6285.66666666667
ACVRL1	371	0.49525	27	1306.375
ACY1	224	0.53508	36	1120.33333333333
ACY3	424	0.5245	60	1116.5
ACYP1	222	0.42548	47	646
ACYP2	448	0.3961767	11	1020.77777777778
ADA	171	0.44361	42	1051.22222222222
ADAD1	612	0.36116	-14	1243.71428571429
ADAD2	364	0.49653	12	1378.55555555556
ADAL	415	0.44318	50	1924.28571428571
ADAM10	386	0.40971	31	1199.38888888889
ADAM11	175	0.479	31	2964.2
ADAM12	485	0.43295	-29	2049.42857142857
ADAM15	214	0.54898	44	1716.0303030303
ADAM17	278	0.43701	38	2431.66666666667
ADAM18	764	0.345135	4	1402.11111111111
ADAM19	1079	0.44323	45	3489
ADAM2	576	0.33908	-2	1784.16666666667
ADAM20	706	0.40046	26	2795
ADAM21	706	0.41021	22	2532
ADAM22	722	0.372875	17	3062.33333333333
ADAM23	726	0.39234	16	3122.25
ADAM28	565	0.369435	5	1639.5
ADAM29	889	0.35701	-36	1607.25
ADAM30	560	0.40781	9	2963
ADAM32	612	0.37696	-5	1693.54545454545
ADAM33	353	0.43502	32	3232.4
ADAM7	741	0.363915	6	2503
ADAM8	452	0.57912	-12	1377.72727272727
ADAM9	428	0.42105	22	2380
ADAMDEC1	741	0.35892	5	1876.8
ADAMTS1	441	0.39122	-72	2111
ADAMTS10	214	0.53963	-14	1591.25925925926
ADAMTS12	875	0.4064425	7	3106.33333333333
ADAMTS13	263	0.53614	33	3177.29411764706
ADAMTS14	566	0.496865	37	5264.5
ADAMTS15	396	0.50214	0	5669
ADAMTS16	683	0.4234233	-23	2768.75
ADAMTS18	1102	0.40012	-26	1285.77777777778
ADAMTS19	1075	0.35251	-16	1808
ADAMTS2	677	0.5026333	-4	2047.8
ADAMTS20	906	0.3598267	-21	4067.25
ADAMTS3	633	0.36105	-15	2563
ADAMTS4	234	0.48423	37	4027
ADAMTS5	441	0.38477	-79	9056
ADAMTS6	480	0.3713075	5	2837.66666666667
ADAMTS7	413	0.500685	46	3056
ADAMTS8	382	0.41722	-6	3130
ADAMTS9	783	0.40586	-10	3282.8
ADAMTSL1	527	0.3930217	-18	2533.92857142857
ADAMTSL2	315	0.56856	35	4021
ADAMTSL3	888	0.400134	-7	2983.125
ADAMTSL4	152	0.49927	31	3134.5
ADAMTSL5	221	0.59495	35	1259.38461538462
ADAP1	310	0.54199	41	1133
ADAP2	209	0.4287	20	1122.36363636364
ADAR	403	0.454685	36	2652.54545454545
ADARB1	250	0.5034767	42	3689.92307692308
ADARB2	633	0.4795883	8	1415.71428571429
ADAT1	354	0.46353	18	924.5
ADAT2	495	0.39773	7	3080
ADC	264	0.47112	21	1605.85714285714
ADCK1	517	0.4540733	24	1530.75
ADCK2	567	0.47021	38	1513.8
ADCK4	201	0.5249	31	1041.33333333333
ADCK5	200	0.59055	32	1062.1875
ADCY1	686	0.457795	11	4986.33333333333
ADCY10	238	0.42905	13	3665.6
ADCY2	1014	0.4094667	-22	2701.88888888889
ADCY3	296	0.46749	37	1489.61538461538
ADCY4	173	0.506665	39	1810.5
ADCY5	458	0.48012	42	1936.7
ADCY6	328	0.43098	38	3094.77777777778
ADCY7	520	0.50928	21	1783.1875
ADCY8	771	0.407665	-7	3409.66666666667
ADCY9	140	0.471455	19	1899.28571428571
ADCYAP1	531	0.42432	-13	1685
ADCYAP1R1	631	0.501915	7	2105.16666666667
ADD1	264	0.511155	45	1932.35714285714
ADD2	592	0.43442	24	2230.5
ADD3	424	0.40882	3	975.3
ADH1A	786	0.38286	3	1137.66666666667
ADH1B	854	0.37843	8	2862.4
ADH1C	854	0.37843	8	939.25
ADH4	760	0.39318	1	1070.58333333333
ADH5	549	0.400845	11	997.666666666667
ADH6	786	0.38729	-3	1388.55555555556
ADH7	854	0.3783	12	1449.16666666667
ADHFE1	268	0.40876	12	1147.63157894737
ADI1	390	0.4955807	16	2305
ADIG	539	0.42994	39	601.25
ADIPOQ	384	0.44514	25	4598.66666666667
ADIPOR1	389	0.43195	30	1510.5
ADIPOR2	403	0.43088	29	1038
ADK	598	0.3790317	40	1122.33333333333
ADM	273	0.41124	12	1241.375
ADNP	367	0.47382	36	4793.6
ADO	852	0.4057	32	3723
ADORA1	453	0.487165	37	2113.71428571429
ADORA2A	186	0.47891	54	882.75
ADORA2B	350	0.4482	-33	1805
ADORA3	330	0.414755	27	951.6
ADPGK	526	0.42524	43	1448.64285714286
ADPRH	595	0.419825	40	1987.57142857143
ADPRHL1	223	0.512195	49	1350.66666666667
ADPRHL2	282	0.401	27	1668
ADRA1A	692	0.40856	3	1766.71428571429
ADRA1B	458	0.43736	31	1738
ADRA1D	428	0.49167	14	2677
ADRA2A	547	0.39226	-1	3869
ADRA2B	366	0.47857	41	3278
ADRA2C	592	0.55433	36	1863.5
ADRB1	502	0.42819	25	2862
ADRB2	408	0.4164	22	2041
ADRB3	356	0.47857	25	1850.5
ADRBK1	177	0.47087	44	1359.78571428571
ADRBK2	580	0.4279	-13	4880
ADRM1	252	0.54717	9	808.75
ADSL	427	0.4352	47	1327.75
ADSS	534	0.41779	2	1506.33333333333
ADSSL1	208	0.57111	29	1245.66666666667
AEBP1	282	0.53555	56	1417.77777777778
AEBP2	339	0.41967	-21	1582.42857142857
AEN	605	0.43743	14	1814.85714285714
AES	195	0.53265	30	1137.66666666667
AFAP1	260	0.49658	38	3727.25
AFAP1L1	380	0.455995	25	2031.16666666667
AFAP1L2	299	0.4588524	6	2377.42857142857
AFF1	518	0.4174933	48	2657.45454545455
AFF2	NaN	0.3872533	-13	9694.8
AFF3	868	0.4161671	12	2400.3125
AFF4	200	0.43368	66	2156.11111111111
AFG3L2	214	0.47957	26	1921.75
AFM	594	0.35903	3	1224
AFMID	191	0.522175	26	814.8
AFP	594	0.35903	3	972.714285714286
AFTPH	332	0.41625	21	3190.14285714286
AGA	837	0.38858	-8	862.166666666667
AGAP1	614	0.4717986	3	2992.36363636364
AGAP11	164	0.45993	45	4560
AGAP2	344	0.46755	39	3147.25
AGAP3	337	0.574745	39	1132.88
AGAP4	NaN	0.42676	34	908.8
AGBL1	980	0.394799	-56	2599
AGBL2	155	0.459955	23	1589.13333333333
AGBL4	1041	0.3909244	-18	1874.83333333333
AGBL5	290	0.46866	34	1561.8
AGER	392	0.51762	28	979.313432835821
AGFG1	353	0.399835	23	2445.875
AGFG2	242	0.50946	60	1949.83333333333
AGGF1	333	0.41326	30	1757
AGK	887	0.41721	16	1134
AGL	595	0.39562	9	6381.125
AGMAT	162	0.475445	31	2500
AGPAT1	392	0.51762	28	2014.90410958904
AGPAT2	190	0.59041	56	1157.6
AGPAT3	294	0.52659	67	2058.27777777778
AGPAT4	874	0.42516	-5	2718
AGPAT5	475	0.428945	32	1306.85714285714
AGPAT6	496	0.43871	30	1324.36363636364
AGPAT9	436	0.40752	21	1134.14285714286
AGPS	434	0.38272	26	3051.66666666667
AGR2	385	0.39798	-7	753.625
AGR3	376	0.383375	-15	573
AGRN	239	0.61741	15	1681.77777777778
AGRP	153	0.52401	49	764
AGT	568	0.42991	6	2291
AGTPBP1	613	0.3890733	9	2519.33333333333
AGTR1	825	0.36261	-24	1964.1
AGTR2	NaN	0.36106	7	2882
AGTRAP	187	0.532265	36	911.071428571429
AGXT	297	0.55241	30	1511
AGXT2	675	0.404465	23	1528.4
AHCTF1	405	0.42591	4	4755.25
AHCY	151	0.43841	50	1508.83333333333
AHCYL1	373	0.44894	29	1736.33333333333
AHCYL2	420	0.4241933	44	2127.5
AHDC1	217	0.506195	25	2849.2
AHI1	422	0.3766233	29	2006.52631578947
AHNAK	204	0.498065	49	2951.75
AHNAK2	205	0.5622	30	10433.5
AHR	410	0.36131	2	2537.2
AHRR	399	0.519265	34	1593.36363636364
AHSA1	359	0.4362	47	790.846153846154
AHSA2	371	0.42032	36	1528.63636363636
AHSG	436	0.41941	45	1511
AHSP	688	0.50414	-17	376
AICDA	422	0.40186	15	1047
AIDA	392	0.38708	1	1847.85714285714
AIF1	220	0.48286	35	723.583333333333
AIF1L	293	0.536	36	1986.72727272727
AIFM1	NaN	0.5093	58	1758.4
AIFM2	425	0.41629	25	2254
AIFM3	192	0.51063	58	1318.05
AIG1	699	0.393845	13	1173.4
AIM1	271	0.405255	41	2913.5
AIM1L	217	0.49099	22	1175.7
AIM2	866	0.38607	8	865.75
AIMP1	711	0.34896	5	2021.25
AIP	215	0.57144	53	868
AIPL1	359	0.47105	6	1692.54545454545
AIRE	308	0.59065	65	2078.28571428571
AJAP1	921	0.52078	4	4782.33333333333
AK1	201	0.54024	51	898.333333333333
AK2	233	0.477595	27	922.461538461538
AK3	608	0.40216	30	1659
AK5	536	0.3891325	-8	1098.76923076923
AK7	560	0.40734	14	1298.4
AKAP1	258	0.44624	-6	1517.16666666667
AKAP10	348	0.43429	-11	1034.45454545455
AKAP11	411	0.37568	51	9913
AKAP12	383	0.43544	11	5613.4
AKAP13	454	0.4031625	17	2412.33333333333
AKAP14	NaN	0.45112	38	615.285714285714
AKAP3	874	0.40402	18	1436.16666666667
AKAP4	NaN	0.41698	5	1960.875
AKAP5	221	0.43184	54	4544
AKAP6	715	0.3853329	-10	1853.46666666667
AKAP7	682	0.3912867	15	1547.72727272727
AKAP8	481	0.50014	28	1901.6
AKAP8L	481	0.508905	30	1091.2
AKAP9	611	0.37707	16	4133.2
AKIRIN1	318	0.45067	30	1508
AKIRIN2	346	0.400785	33	1037.5
AKNA	360	0.513685	14	3817
AKNAD1	236	0.38605	8	1992.9
AKR1A1	161	0.47446	27	815.076923076923
AKR1B1	415	0.44655	9	892.571428571429
AKR1B10	319	0.42444	21	938.75
AKR1B15	319	0.42444	21	1617.33333333333
AKR1C1	608	0.39409	-13	2279.66666666667
AKR1C2	608	0.39409	-13	1262.05
AKR1C3	678	0.40848	-14	967.761904761905
AKR1C4	678	0.38002	-21	1078
AKR1D1	478	0.40796	16	1300.33333333333
AKR1E2	559	0.37361	-13	908.846153846154
AKR7A2	448	0.49132	40	947
AKR7A3	448	0.49132	40	1710
AKR7L	448	0.45575	35	1489.25
AKT1	247	0.60383	36	2043.5
AKT1S1	205	0.53184	37	1796.66666666667
AKT2	400	0.51007	30	1108.71428571429
AKT3	954	0.381482	-4	1543
AKTIP	403	0.41209	8	1068.57142857143
ALAD	297	0.45786	36	1209.4
ALAS1	181	0.50162	52	1705.16666666667
ALAS2	NaN	0.42499	8	1158.375
ALB	613	0.38905	8	1032.77777777778
ALCAM	784	0.3552333	-3	2290.4
ALDH16A1	290	0.53148	44	2029.44444444444
ALDH18A1	454	0.437225	26	1741
ALDH1A1	542	0.38386	1	890.285714285714
ALDH1A2	674	0.4008	-1	1169.48
ALDH1B1	622	0.45746	3	3066
ALDH1L1	610	0.47651	30	1960.44444444444
ALDH1L2	334	0.40313	33	3396.83333333333
ALDH2	242	0.49042	44	1482.5
ALDH3A1	220	0.48139	-13	1123.88235294118
ALDH3A2	332	0.44638	-2	1574.73913043478
ALDH3B1	356	0.45291	31	2082.84615384615
ALDH3B2	424	0.5245	60	1186.125
ALDH4A1	453	0.51218	27	2168.66666666667
ALDH5A1	461	0.422805	18	2116
ALDH6A1	236	0.4346	40	1942.85714285714
ALDH7A1	191	0.42021	19	1177.0625
ALDH8A1	364	0.42881	19	1509.16666666667
ALDH9A1	408	0.41561	0	1202.5
ALDOB	898	0.39445	-22	1334.5
ALDOC	225	0.4983	31	1044.44444444444
ALG1	419	0.51582	3	1483.22222222222
ALG10	1025	0.36609	-29	1644.5
ALG10B	589	0.37012	-38	1807.25
ALG11	461	0.43654	41	2845.33333333333
ALG13	NaN	0.3771	20	1130.52173913043
ALG14	425	0.41459	-9	3324
ALG1L	583	0.46796	19	805
ALG2	410	0.41265	37	2127.33333333333
ALG3	257	0.49677	49	1038.86666666667
ALG5	650	0.39597	16	890.833333333333
ALG6	477	0.404525	2	1507.14285714286
ALG8	208	0.44761	23	843.35
ALG9	182	0.418825	28	1362.5
ALK	882	0.429635	19	2177.5
ALKBH1	384	0.43415	47	1372.5
ALKBH2	487	0.43892	20	897.714285714286
ALKBH3	676	0.41111	6	876.615384615385
ALKBH4	174	0.50793	63	1353
ALKBH5	192	0.526615	23	2166.33333333333
ALKBH6	320	0.51822	19	928.157894736842
ALKBH7	407	0.49583	31	756.333333333333
ALKBH8	643	0.37061	-2	2036.71428571429
ALLC	496	0.48553	5	1346.66666666667
ALMS1	590	0.3907433	22	5835.25
ALOX12	360	0.450765	14	1274.66666666667
ALOX12B	272	0.47663	26	1170.25
ALOX15	318	0.52584	25	1534.25
ALOX15B	272	0.47663	26	2498.6
ALOX5	737	0.43463	36	946.538461538462
ALOX5AP	451	0.44712	76	722
ALOXE3	202	0.49899	31	2592.25
ALPI	191	0.52541	32	2216
ALPK1	467	0.396015	42	1985.88888888889
ALPK2	290	0.448645	67	2379.16666666667
ALPK3	213	0.46917	28	5702
ALPL	297	0.509295	42	1861.125
ALPP	204	0.52299	37	1624.33333333333
ALPPL2	204	0.52299	37	2493
ALS2	523	0.392765	29	2141.23076923077
ALS2CL	495	0.49884	41	3758.2
ALS2CR11	491	0.380595	24	2405.6
ALS2CR12	411	0.419145	31	1221.1
ALX1	925	0.33599	-34	1445
ALX3	400	0.48927	29	1859
ALX4	575	0.445	9	5750
AMACR	793	0.41053	4	1792.1
AMBN	689	0.38399	14	1758.5
AMBP	558	0.4841	0	1106.5
AMBRA1	212	0.46978	45	2830.28571428571
AMD1	282	0.417085	31	2194.5
AMDHD1	436	0.40839	8	1270.25
AMDHD2	321	0.54157	49	1092.33333333333
AMFR	442	0.47842	-9	1132
AMH	240	0.58741	27	1170.5
AMHR2	191	0.47539	56	1332.42857142857
AMICA1	293	0.50042	56	1731.91666666667
AMIGO1	272	0.45635	37	3658.5
AMIGO2	380	0.38454	-12	2977.5
AMMECR1	NaN	0.3953333	34	2580
AMMECR1L	248	0.45547	39	4649.5
AMN	286	0.44468	50	1223.71428571429
AMN1	228	0.4292	11	853
AMOT	NaN	0.40138	10	3809.16666666667
AMOTL1	472	0.417925	-7	4593.66666666667
AMOTL2	189	0.43089	21	1857.53846153846
AMPD1	472	0.39544	11	1899.75
AMPD2	201	0.43208	29	1417.30769230769
AMPD3	378	0.43779	27	1540.33333333333
AMPH	639	0.3992067	7	1629.9
AMT	201	0.47275	32	1190.4347826087
AMTN	861	0.38205	27	899
AMY1C	1029	0.3547033	-14	1632
AMY2A	1015	0.35591	-20	930.666666666667
AMY2B	974	0.350765	-19	1777.28571428571
AMZ1	392	0.58208	30	1717.5
AMZ2	237	0.4589	11	1157.61111111111
ANAPC10	1139	0.371125	20	752.625
ANAPC13	188	0.440025	16	1104.16666666667
ANAPC16	140	0.40526	40	1919
ANAPC2	202	0.57195	36	1107.57142857143
ANAPC4	611	0.403895	44	1551.36363636364
ANAPC5	258	0.4963	39	1557.625
ANAPC7	206	0.45423	50	1237.41666666667
ANGEL1	471	0.47213	39	1347.83333333333
ANGEL2	412	0.44607	12	1948.2
ANGPT1	671	0.3652375	-19	2023.375
ANGPT4	579	0.46792	36	1812
ANGPTL4	204	0.52506	0	1149.91666666667
ANGPTL5	514	0.3834	-21	1484.5
ANGPTL6	272	0.52452	15	1457
ANK1	533	0.49256	36	3856.89473684211
ANK2	911	0.3780657	14	3128.4
ANK3	634	0.38721	-8	2189.65217391304
ANKAR	452	0.379365	20	2721.5
ANKDD1A	185	0.48721	57	1684.25
ANKFN1	511	0.395585	-53	1273.25
ANKFY1	357	0.45007	26	2477.21428571429
ANKH	410	0.43486	8	1853.75
ANKHD1-EIF4EBP3	296	0.42253	30	5311.66666666667
ANKIB1	452	0.3783333	30	1605.85714285714
ANKK1	610	0.43356	12	1525.5
ANKLE1	212	0.53091	38	1804.5
ANKMY1	485	0.54962	21	1880.5
ANKMY2	612	0.39645	-13	1583
ANKRA2	289	0.41738	42	870.125
ANKRD1	510	0.41008	4	1979
ANKRD10	402	0.44727	22	963.833333333333
ANKRD12	391	0.38695	56	3708.5
ANKRD13A	254	0.45054	54	1606.4
ANKRD13B	383	0.52127	30	1724.875
ANKRD13C	396	0.38157	-1	1905.8
ANKRD13D	177	0.47087	44	1391.11111111111
ANKRD16	305	0.4704	28	1673
ANKRD17	747	0.37555	19	4291.90909090909
ANKRD2	169	0.49781	40	1348
ANKRD22	289	0.37369	26	1025
ANKRD23	392	0.53413	46	1872.83333333333
ANKRD24	244	0.54798	41	2578.33333333333
ANKRD26	459	0.40021	24	2828.28571428571
ANKRD27	455	0.44467	-38	1390.66666666667
ANKRD28	435	0.3881033	29	2314.13333333333
ANKRD29	138	0.44381	67	1543.55555555556
ANKRD30A	1067	0.3613619	-43	3515.75
ANKRD32	399	0.36561	20	1472.375
ANKRD33	438	0.48776	22	1548
ANKRD34B	545	0.38769	38	2240
ANKRD36	535	0.39721	32	3476.83333333333
ANKRD36B	455	0.404855	29	3143.77777777778
ANKRD37	422	0.40814	20	837.666666666667
ANKRD39	392	0.53413	46	2970.5
ANKRD40	196	0.5458	18	1866.33333333333
ANKRD42	414	0.39481	18	2039
ANKRD44	444	0.39299	27	1772.47058823529
ANKRD45	423	0.3906	4	1635
ANKRD46	214	0.43623	67	1497.45454545455
ANKRD49	589	0.37359	-7	1237
ANKRD50	616	0.357385	-24	6503
ANKRD52	171	0.50215	46	2572
ANKRD53	561	0.48775	27	1258.85714285714
ANKRD54	203	0.53164	66	1037.16666666667
ANKRD55	402	0.4194633	45	1330.83333333333
ANKRD6	609	0.4285467	43	1589.63636363636
ANKRD7	922	0.3713	-13	968.428571428571
ANKRD9	191	0.46387	42	1324.8
ANKS1A	304	0.4397133	26	2952
ANKS1B	941	0.3788938	-9	1382.85714285714
ANKS3	194	0.56884	35	1366.13793103448
ANKS4B	575	0.44108	41	2936
ANKS6	375	0.46245	12	3112.875
ANKZF1	158	0.47986	40	1186.07692307692
ANLN	329	0.40615	21	1377.46153846154
ANO1	286	0.517765	35	2231.91666666667
ANO10	518	0.4046533	29	1130.64705882353
ANO2	712	0.446468	13	1433.81818181818
ANO3	970	0.3642725	-20	3024.5
ANO4	937	0.39345	-16	1656.84615384615
ANO5	935	0.36445	-7	3718.5
ANO6	719	0.3968567	1	3577.75
ANO7	317	0.5203	35	1694.33333333333
ANO8	211	0.56066	43	3149.33333333333
ANO9	344	0.61105	58	2136.375
ANP32A	562	0.461075	32	1315.09090909091
ANP32B	269	0.42679	42	850
ANP32D	390	0.39135	11	396
ANP32E	197	0.435175	39	1499.63636363636
ANPEP	212	0.49378	37	994.555555555556
ANTXR1	288	0.4128567	14	1757.71428571429
ANTXR2	905	0.35479	6	1915.7
ANXA1	411	0.36319	-15	1112.125
ANXA10	402	0.358935	-16	959
ANXA11	626	0.46983	7	2315.30769230769
ANXA13	192	0.44541	12	1075.16666666667
ANXA2	299	0.41876	14	875.236842105263
ANXA3	351	0.40317	21	1114.2
ANXA4	193	0.422605	50	1454.83333333333
ANXA5	440	0.386135	9	1007.90909090909
